SS00000009,210879_s_at
SS00007904,223475_at
SS00007907,204116_at
SS00007915,219365_s_at
SS00007921,225288_at
SS00007926,205991_s_at
SS00007930,212931_at
SS00007932,227491_at
SS00007933,209905_at
SS00007950,1569111_at
SS00007957,222538_s_at
SS00007963,201675_at
SS00007965,200059_s_at
SS00007968,229642_at
SS00007970,217908_s_at
SS00007971,237202_at
SS00007977,201370_s_at
SS00007979,204568_at
SS00007983,218712_at
SS00007989,206731_at
SS00007996,205138_s_at
SS00007997,201681_s_at
SS00007999,219534_x_at
SS00008001,212501_at
SS00008002,235764_at
SS00008003,202889_x_at
SS00008010,201778_s_at
SS00008012,52255_s_at
SS00008013,213552_at
SS00008017,202056_at
SS00008018,226086_at
SS00008023,201605_x_at
SS00008028,205001_s_at
SS00008033,222005_s_at
SS00008035,220637_at
SS00008040,228439_at
SS00008045,221761_at
SS00008060,227047_x_at
SS00008072,212850_s_at
SS00008074,219868_s_at
SS00008075,238803_at
SS00008080,228734_at
SS00008081,218020_s_at
SS00008082,219690_at
SS00008084,205156_s_at
SS00008085,205481_at
SS00008088,201100_s_at
SS00008089,208384_s_at
SS00008098,236352_at
SS00008099,209681_at
SS00008104,225615_at
SS00008105,212927_at
SS00008106,1554660_a_at
SS00008108,209199_s_at
SS00008116,225088_at
SS00008118,212565_at
SS00008119,217077_s_at
SS00008120,228186_s_at
SS00008125,201661_s_at
SS00008126,212585_at
SS00008136,204568_at
SS00008140,224949_at
SS00008146,219179_at
SS00008150,221489_s_at
SS00008152,206154_at
SS00008156,44146_at
SS00008162,213888_s_at
SS00008182,204729_s_at
SS00008185,242179_s_at
SS00008190,204165_at
SS00008191,1553218_a_at
SS00008194,219924_s_at
SS00008203,221011_s_at
SS00008206,225693_s_at
SS00008208,207671_s_at
SS00008209,222757_s_at
SS00008219,221004_s_at
SS00008227,204178_s_at
SS00008243,222395_s_at
SS00008250,202401_s_at
SS00008256,206176_at
SS00008258,37278_at
SS00008264,209346_s_at
SS00008271,202131_s_at
SS00008276,208782_at
SS00008278,200968_s_at
SS00008286,208992_s_at
SS00008300,209050_s_at
SS00008311,206621_s_at
SS00008321,201009_s_at
SS00008332,217729_s_at
SS00008336,219314_s_at
SS00008339,204022_at
SS00008340,208626_s_at
SS00008374,206461_x_at
SS00008379,208472_at
SS00008380,208788_at
SS00008393,224659_at
SS00008397,218725_at
SS00008398,201176_s_at
SS00008402,200770_s_at
SS00008404,223568_s_at
SS00008409,205787_x_at
SS00008411,210371_s_at
SS00008415,212107_s_at
SS00008417,212152_x_at
SS00008418,212124_at
SS00008428,202146_at
SS00008432,202517_at
SS00008433,1564031_a_at
SS00008436,209291_at
SS00008439,217066_s_at
SS00008440,203183_s_at
SS00008446,1554172_a_at
SS00008448,209556_at
SS00008457,202410_x_at
SS00008459,212143_s_at
SS00008463,218329_at
SS00008472,202016_at
SS00008474,220138_at
SS00008484,220363_s_at
SS00008502,209716_at
SS00008503,227047_x_at
SS00008520,224631_at
SS00008524,202992_at
SS00008530,200769_s_at
SS00008534,212695_at
SS00008536,202711_at
SS00008541,210966_x_at
SS00008543,1558014_s_at
SS00008546,232004_at
SS00008548,230038_at
SS00008552,223108_s_at
SS00008556,209195_s_at
SS00008557,213216_at
SS00008561,223044_at
SS00008568,230001_at
SS00008570,1555347_at
SS00008588,210613_s_at
SS00008598,202633_at
SS00008599,205417_s_at
SS00008602,217808_s_at
SS00008608,214383_x_at
SS00008610,226648_at
SS00008613,200758_s_at
SS00008619,229813_x_at
SS00008620,226445_s_at
SS00008640,204681_s_at
SS00008641,225424_at
SS00008650,223016_x_at
SS00008652,213037_x_at
SS00008653,203002_at
SS00008666,243628_at
SS00008671,216689_x_at
SS00008674,210673_x_at
SS00008676,218218_at
SS00008679,217937_s_at
SS00008681,215427_s_at
SS00008685,209656_s_at
SS00008693,222978_at
SS00008694,209024_s_at
SS00008697,201494_at
SS00008704,205100_at
SS00008708,223152_at
SS00008709,235461_at
SS00008714,218501_at
SS00008716,205277_at
SS00008717,223225_s_at
SS00008718,228302_x_at
SS00008719,222452_s_at
SS00008722,203069_at
SS00008736,222091_at
SS00008740,200700_s_at
SS00008741,216911_s_at
SS00008742,1562391_at
SS00008745,225385_s_at
SS00008754,201277_s_at
SS00008755,58780_s_at
SS00008758,213355_at
SS00008760,204687_at
SS00008762,201511_at
SS00008769,223123_s_at
SS00008772,218911_at
SS00008786,224720_at
SS00008798,201681_s_at
SS00008804,221817_at
SS00008806,218108_at
SS00008809,203504_s_at
SS00008812,226338_at
SS00008814,200956_s_at
SS00008818,202896_s_at
SS00008825,203640_at
SS00008828,212681_at
SS00008831,223425_at
SS00008832,225005_at
SS00008835,211034_s_at
SS00008838,244519_at
SS00008841,204589_at
SS00008851,212690_at
SS00008854,209146_at
SS00008856,213720_s_at
SS00008859,203286_at
SS00008860,204154_at
SS00008869,222495_at
SS00008870,222996_s_at
SS00008885,218039_at
SS00008889,228255_at
SS00008902,204918_s_at
SS00008912,212224_at
SS00008914,206581_at
SS00008919,212750_at
SS00008928,210280_at
SS00008930,204181_s_at
SS00008931,243786_at
SS00008936,213242_x_at
SS00008937,220224_at
SS00008938,207480_s_at
SS00008939,208860_s_at
SS00008941,219388_at
SS00008942,202080_s_at
SS00008944,223405_at
SS00008945,202394_s_at
SS00008946,219365_s_at
SS00008950,204986_s_at
SS00008951,228096_at
SS00008958,209454_s_at
SS00008962,203135_at
SS00008967,214221_at
SS00008970,224556_s_at
SS00008981,211498_s_at
SS00008982,218177_at
SS00008985,222781_s_at
SS00008988,215910_s_at
SS00008989,202048_s_at
SS00008990,229630_s_at
SS00008996,201364_s_at
SS00009002,230418_s_at
SS00009008,225129_at
SS00009010,209076_s_at
SS00009011,223264_at
SS00009028,227397_at
SS00009029,218382_s_at
SS00009033,223005_s_at
SS00009052,205046_at
SS00009058,205397_x_at
SS00009062,222250_s_at
SS00009065,212882_at
SS00009068,203279_at
SS00009078,221736_at
SS00009079,212882_at
SS00009080,218706_s_at
SS00009083,203693_s_at
SS00009085,213342_at
SS00009093,1554417_s_at
SS00009098,238862_at
SS00009106,203974_at
SS00009107,1555467_a_at
SS00009116,209587_at
SS00009117,228517_at
SS00009125,221675_s_at
SS00009129,212344_at
SS00009130,208253_at
SS00009136,206201_s_at
SS00009139,226207_at
SS00009158,1569153_at
SS00009166,222463_s_at
SS00009172,32259_at
SS00009177,235728_at
SS00009181,228315_at
SS00009185,233617_at
SS00009186,218109_s_at
SS00009193,205001_s_at
SS00009199,233911_s_at
SS00009205,238945_at
SS00009208,226370_at
SS00009210,207164_s_at
SS00009211,219619_at
SS00009212,208702_x_at
SS00009213,218403_at
SS00009216,208988_at
SS00009220,207439_s_at
SS00009221,222593_s_at
SS00009222,232514_at
SS00009224,205044_at
SS00009237,202368_s_at
SS00009244,218138_at
SS00009246,223235_s_at
SS00009249,218337_at
SS00009250,224145_s_at
SS00009253,201846_s_at
SS00009257,208854_s_at
SS00009260,213445_at
SS00009261,1558975_at
SS00009262,220748_s_at
SS00009271,202939_at
SS00009275,200618_at
SS00009277,244108_at
SS00009287,212624_s_at
SS00009288,227491_at
SS00009291,1570402_at
SS00009300,211348_s_at
SS00009302,215771_x_at
SS00009303,229929_at
SS00009304,203439_s_at
SS00009308,226258_at
SS00009314,203288_at
SS00009318,219195_at
SS00009331,239401_at
SS00009334,211537_x_at
SS00009338,1555789_s_at
SS00009341,220735_s_at
SS00009347,225414_at
SS00009348,226749_at
SS00009349,222856_at
SS00009350,1558233_s_at
SS00009352,207525_s_at
SS00009370,238047_at
SS00009376,221216_s_at
SS00009377,218085_at
SS00009381,209691_s_at
SS00009387,214788_x_at
SS00009389,203523_at
SS00009411,222033_s_at
SS00009412,221904_at
SS00009413,213106_at
SS00009415,202607_at
SS00009416,212015_x_at
SS00009420,206888_s_at
SS00009434,218880_at
SS00009435,223382_s_at
SS00009437,220637_at
SS00009438,207351_s_at
SS00009442,218900_at
SS00009443,227880_s_at
SS00009446,210778_s_at
SS00009453,215116_s_at
SS00009457,212435_at
SS00009466,205062_x_at
SS00009469,207957_s_at
SS00009477,228437_at
SS00009484,203544_s_at
SS00009485,209876_at
SS00009487,222005_s_at
SS00009488,221561_at
SS00009492,201742_x_at
SS00009493,229702_at
SS00009494,217418_x_at
SS00009499,225831_at
SS00009503,210056_at
SS00009509,210866_s_at
SS00009512,222431_at
SS00009516,229817_at
SS00009519,213825_at
SS00009523,212641_at
SS00009527,32259_at
SS00009529,220147_s_at
SS00009537,204618_s_at
SS00009544,205266_at
SS00009560,218182_s_at
SS00009561,238444_at
SS00009563,214194_at
SS00009564,1552893_at
SS00009565,226090_x_at
SS00009566,204980_at
SS00009569,209780_at
SS00009570,227286_at
SS00009572,223812_at
SS00009573,205063_at
SS00009580,224622_at
SS00009584,242217_s_at
SS00009585,203026_at
SS00009586,226925_at
SS00009590,229967_at
SS00009593,205990_s_at
SS00009611,204720_s_at
SS00009612,205074_at
SS00009614,1555630_a_at
SS00009620,205330_at
SS00009621,206703_at
SS00009623,211515_s_at
SS00009626,222148_s_at
SS00009627,220342_x_at
SS00009628,200994_at
SS00009632,55662_at
SS00009639,215505_s_at
SS00009645,1554555_a_at
SS00009648,220335_x_at
SS00009652,202788_at
SS00009670,213936_x_at
SS00009672,201266_at
SS00009680,216941_s_at
SS00009702,202310_s_at
SS00009711,206243_at
SS00009712,201149_s_at
SS00009725,202604_x_at
SS00009739,207212_at
SS00009742,212501_at
SS00009745,211805_s_at
SS00009750,208195_at
SS00009770,208568_at
SS00009801,201465_s_at
SS00009802,206306_at
SS00009805,211323_s_at
SS00009808,207792_at
SS00009825,230204_at
SS00009829,203658_at
SS00009830,202741_at
SS00009839,209576_at
SS00009840,200910_at
SS00009851,206306_at
SS00009880,220054_at
SS00009888,228182_at
SS00009894,205292_s_at
SS00009915,207404_s_at
SS00009930,228416_at
SS00009931,206282_at
SS00009944,204393_s_at
SS00009950,223660_at
SS00009955,211791_s_at
SS00009964,209653_at
SS00010004,205845_at
SS00010005,219534_x_at
SS00010007,212937_s_at
SS00010018,212937_s_at
SS00010025,1557225_at
SS00010033,228379_at
SS00010036,222258_s_at
SS00010053,227864_s_at
SS00010055,201696_at
SS00010056,202849_x_at
SS00010059,220155_s_at
SS00010062,204170_s_at
SS00010068,1555062_s_at
SS00010070,212060_at
SS00010081,205124_at
SS00010086,221846_s_at
SS00010088,229453_at
SS00010096,225076_s_at
SS00010106,221256_s_at
SS00010107,221256_s_at
SS00010112,213072_at
SS00010117,214719_at
SS00010122,204978_at
SS00010124,207961_x_at
SS00010157,201791_s_at
SS00010162,210538_s_at
SS00010165,213858_at
SS00010259,229440_at
SS00010268,223189_x_at
SS00010272,228337_at
SS00010325,1559584_a_at
SS00010360,55616_at
SS00010401,201446_s_at
SS00010407,224796_at
SS00010448,221749_at
SS00010461,203157_s_at
SS00010470,221920_s_at
SS00010485,227792_at
SS00010504,1555233_at
SS00010513,220759_at
SS00010523,214943_s_at
SS00010578,217820_s_at
SS00010630,1553702_at
SS00010634,239843_at
SS00010672,202601_s_at
SS00010701,217941_s_at
SS00010704,212111_at
SS00010705,229383_at
SS00010709,225801_at
SS00010724,213090_s_at
SS00010725,1570393_at
SS00010726,225912_at
SS00010729,1554586_a_at
SS00010732,208522_s_at
SS00010740,229697_at
SS00010746,207041_at
SS00010749,202193_at
SS00010762,218924_s_at
SS00010769,200654_at
SS00010795,212161_at
SS00010799,221008_s_at
SS00010800,226723_at
SS00010805,211099_s_at
SS00010819,202113_s_at
SS00010837,212233_at
SS00010844,242474_s_at
SS00010847,1552472_a_at
SS00010857,212928_at
SS00010862,219557_s_at
SS00010865,242211_x_at
SS00010874,221485_at
SS00010880,213065_at
SS00010896,210879_s_at
SS00010897,221725_at
SS00010916,221725_at
SS00010926,200878_at
SS00010931,218964_at
SS00010937,208719_s_at
SS00010947,226428_at
SS00010948,203971_at
SS00010949,217890_s_at
SS00010952,205292_s_at
SS00010976,220633_s_at
SS00010982,228573_at
SS00010986,221752_at
SS00010991,1554410_a_at
SS00010996,224618_at
SS00010998,202275_at
SS00011000,201043_s_at
SS00011004,201040_at
SS00011005,235731_at
SS00011016,204836_at
SS00011018,1553962_s_at
SS00011021,212793_at
SS00011030,217811_at
SS00011034,240005_at
SS00011042,212805_at
SS00011046,212338_at
SS00011052,228302_x_at
SS00011056,206679_at
SS00011058,223568_s_at
SS00011064,218009_s_at
SS00011068,204514_at
SS00011070,212575_at
SS00011075,225563_at
SS00011085,226952_at
SS00011092,201668_x_at
SS00011104,224025_s_at
SS00011105,210555_s_at
SS00011116,205507_at
SS00011121,203445_s_at
SS00011122,218458_at
SS00011123,202656_s_at
SS00011132,228400_at
SS00011145,218627_at
SS00011161,212297_at
SS00011180,228399_at
SS00011190,208065_at
SS00011192,213227_at
SS00011194,224828_at
SS00011196,223269_at
SS00011197,202429_s_at
SS00011202,1558502_s_at
SS00011206,200999_s_at
SS00011207,219873_at
SS00011208,202454_s_at
SS00011210,202492_at
SS00011215,212927_at
SS00011228,216060_s_at
SS00011232,205857_at
SS00011233,204239_s_at
SS00011236,201816_s_at
SS00011237,1553101_a_at
SS00011239,1563947_a_at
SS00011245,201942_s_at
SS00011246,212534_at
SS00011247,234970_at
SS00011250,213400_s_at
SS00011268,213225_at
SS00011269,201772_at
SS00011274,220960_x_at
SS00011307,207667_s_at
SS00011308,206874_s_at
SS00011314,216695_s_at
SS00011320,225024_at
SS00011323,212108_at
SS00011327,230492_s_at
SS00011328,225076_s_at
SS00011330,224978_s_at
SS00011331,212468_at
SS00011340,226091_s_at
SS00011349,203793_x_at
SS00011351,226184_at
SS00011352,203026_at
SS00011354,208876_s_at
SS00011355,227196_at
SS00011360,226237_at
SS00011370,240856_at
SS00011380,238041_at
SS00011382,212630_at
SS00011386,225526_at
SS00011392,226375_at
SS00011398,235451_at
SS00011399,205399_at
SS00011400,205731_s_at
SS00011401,229431_at
SS00011407,213429_at
SS00011410,229182_at
SS00011415,219313_at
SS00011417,201778_s_at
SS00011425,218520_at
SS00011426,212376_s_at
SS00011451,229594_at
SS00011457,227838_at
SS00011461,203998_s_at
SS00011466,214109_at
SS00011471,238862_at
SS00011488,242592_at
SS00011496,224152_s_at
SS00011498,230360_at
SS00011509,214598_at
SS00011516,205434_s_at
SS00011519,209603_at
SS00011535,205961_s_at
SS00011545,226797_at
SS00011549,223134_at
SS00011551,225136_at
SS00011559,221695_s_at
SS00011562,213982_s_at
SS00011565,213415_at
SS00011581,202932_at
SS00011587,203666_at
SS00011588,238848_at
SS00011593,215596_s_at
SS00011606,224939_at
SS00011609,206501_x_at
SS00011615,202365_at
SS00011617,224618_at
SS00011632,204881_s_at
SS00011643,218640_s_at
SS00011647,213578_at
SS00011651,210802_s_at
SS00011655,237041_x_at
SS00011660,229452_at
SS00011664,224619_at
SS00011666,206621_s_at
SS00011667,226055_at
SS00011670,217200_x_at
SS00011672,204454_at
SS00011675,203123_s_at
SS00011682,225570_at
SS00011684,202702_at
SS00011687,34697_at
SS00011688,215905_s_at
SS00011691,227243_s_at
SS00011697,211671_s_at
SS00011699,1554127_s_at
SS00011709,38892_at
SS00011716,238350_at
SS00011726,214943_s_at
SS00011729,209921_at
SS00011730,204926_at
SS00011751,201370_s_at
SS00011753,36865_at
SS00011763,226284_at
SS00011767,242344_at
SS00011775,215017_s_at
SS00011778,218098_at
SS00011783,206044_s_at
SS00011796,204201_s_at
SS00011799,244680_at
SS00011801,225188_at
SS00011804,216979_at
SS00011813,217788_s_at
SS00011819,212482_at
SS00011829,225125_at
SS00011835,212616_at
SS00011836,238831_at
SS00011839,206108_s_at
SS00011845,214111_at
SS00011847,223870_at
SS00011852,214590_s_at
SS00011853,235079_at
SS00011860,203533_s_at
SS00011862,226086_at
SS00011869,230290_at
SS00011870,235061_at
SS00011878,214255_at
SS00011884,226492_at
SS00011888,223438_s_at
SS00011894,200898_s_at
SS00011895,211520_s_at
SS00011897,221945_at
SS00011899,244301_at
SS00011900,219347_at
SS00011908,224880_at
SS00011911,229287_at
SS00011917,202019_s_at
SS00011924,226283_at
SS00011937,217941_s_at
SS00011944,209539_at
SS00011947,221520_s_at
SS00011953,219034_at
SS00011964,226785_at
SS00011973,1558733_at
SS00011977,221318_at
SS00011978,227934_at
SS00011980,218748_s_at
SS00011985,226861_at
SS00011989,1559759_at
SS00011999,219098_at
SS00012008,207992_s_at
SS00012012,226944_at
SS00012033,221872_at
SS00012038,214489_at
SS00012042,204879_at
SS00012053,228332_s_at
SS00012060,209981_at
SS00012062,224784_at
SS00012074,208919_s_at
SS00012081,218230_at
SS00012082,1552314_a_at
SS00012088,201191_at
SS00012091,203238_s_at
SS00012096,227300_at
SS00012098,225840_at
SS00012103,201700_at
SS00012107,218725_at
SS00012110,226292_at
SS00012116,242601_at
SS00012120,238500_at
SS00012140,209344_at
SS00012155,207764_s_at
SS00012159,226847_at
SS00012161,212283_at
SS00012166,226376_at
SS00012175,218416_s_at
SS00012185,212736_at
SS00012195,221749_at
SS00012202,204970_s_at
SS00012203,212017_at
SS00012207,224036_s_at
SS00012214,225009_at
SS00012220,213489_at
SS00012222,228819_at
SS00012223,223265_at
SS00012235,206414_s_at
SS00012236,214550_s_at
SS00012238,212485_at
SS00012247,202797_at
SS00012250,225644_at
SS00012260,212050_at
SS00012265,222424_s_at
SS00012269,225706_at
SS00012270,222988_s_at
SS00012272,229763_at
SS00012275,229339_at
SS00012286,201158_at
SS00012287,213419_at
SS00012298,209682_at
SS00012303,225121_at
SS00012306,224990_at
SS00012312,224691_at
SS00012316,242781_at
SS00012321,216711_s_at
SS00012329,227169_at
SS00012331,205410_s_at
SS00012351,224611_s_at
SS00012353,215672_s_at
SS00012357,204974_at
SS00012359,219657_s_at
SS00012362,213587_s_at
SS00012369,209393_s_at
SS00012371,212102_s_at
SS00012374,225400_at
SS00012380,212937_s_at
SS00012381,235812_at
SS00012414,203553_s_at
SS00012422,203294_s_at
SS00012424,218694_at
SS00012436,218373_at
SS00012440,218373_at
SS00012452,211110_s_at
SS00012455,223134_at
SS00012456,212610_at
SS00012466,203870_at
SS00012471,225660_at
SS00012472,202100_at
SS00012474,210984_x_at
SS00012478,220306_at
SS00012490,203627_at
SS00012510,1562637_at
SS00012511,225886_at
SS00012515,221737_at
SS00012517,221691_x_at
SS00012519,226599_at
SS00012532,210732_s_at
SS00012539,212302_at
SS00012542,204358_s_at
SS00012546,224992_s_at
SS00012551,236257_at
SS00012554,234669_x_at
SS00012560,209493_at
SS00012561,220206_at
SS00012562,37831_at
SS00012563,202048_s_at
SS00012565,227169_at
SS00012569,201100_s_at
SS00012570,232859_s_at
SS00012580,204731_at
SS00012581,218880_at
SS00012593,231001_at
SS00012610,221503_s_at
SS00012611,212771_at
SS00012626,225464_at
SS00012628,219114_at
SS00012629,202611_s_at
SS00012630,227726_at
SS00012635,212441_at
SS00012638,209049_s_at
SS00012648,204926_at
SS00012654,216860_s_at
SS00012664,239101_at
SS00012670,207162_s_at
SS00012680,236300_at
SS00012682,202007_at
SS00012694,228683_s_at
SS00012697,225368_at
SS00012704,1554740_a_at
SS00012721,1557795_s_at
SS00012726,213074_at
SS00012727,224872_at
SS00012728,205152_at
SS00012732,1553972_a_at
SS00012744,221088_s_at
SS00012750,218433_at
SS00012751,202497_x_at
SS00012752,206861_s_at
SS00012761,40524_at
SS00012782,210650_s_at
SS00012788,208617_s_at
SS00012797,236935_at
SS00012807,216593_s_at
SS00012817,225968_at
SS00012819,225077_at
SS00012831,205282_at
SS00012845,231719_at
SS00012848,212017_at
SS00012850,231778_at
SS00012851,201806_s_at
SS00012856,207957_s_at
SS00012860,210762_s_at
SS00012863,212468_at
SS00012866,209124_at
SS00012870,222811_at
SS00012879,209750_at
SS00012880,205923_at
SS00012882,215001_s_at
SS00012890,235040_at
SS00012896,229265_at
SS00012899,224943_at
SS00012906,1552712_a_at
SS00012910,202589_at
SS00012922,213205_s_at
SS00012926,220410_s_at
SS00012927,208394_x_at
SS00012929,242592_at
SS00012931,226202_at
SS00012933,215145_s_at
SS00012936,210875_s_at
SS00012942,224943_at
SS00012943,235577_at
SS00012947,205543_at
SS00012951,229199_at
SS00012956,241382_at
SS00012959,219417_s_at
SS00012969,206604_at
SS00012970,204535_s_at
SS00012974,238516_at
SS00012978,240153_at
SS00012983,223941_at
SS00012987,218330_s_at
SS00012993,227761_at
SS00013005,217869_at
SS00013011,215446_s_at
SS00013012,226132_s_at
SS00013022,219237_s_at
SS00013023,212526_at
SS00013030,242781_at
SS00013031,202515_at
SS00013035,225540_at
SS00013043,213920_at
SS00013048,218096_at
SS00013054,205253_at
SS00013072,238029_s_at
SS00013079,241946_at
SS00013083,226135_at
SS00013094,212179_at
SS00013108,220934_s_at
SS00013112,212233_at
SS00013113,207102_at
SS00013130,203454_s_at
SS00013151,215227_x_at
SS00013152,209082_s_at
SS00013153,204688_at
SS00013167,221798_x_at
SS00013187,203954_x_at
SS00013197,222873_s_at
SS00013202,221335_x_at
SS00013213,227099_s_at
SS00013221,201971_s_at
SS00013232,202340_x_at
SS00013241,224657_at
SS00013245,219439_at
SS00013276,214151_s_at
SS00013285,206734_at
SS00013289,211170_s_at
Susc10000005,205366_s_at
Susc10000008,202262_x_at
Susc10000022,204165_at
Susc10000064,206761_at
Susc10000066,208712_at
Susc10000068,228635_at
Susc10000073,233980_s_at
Susc10000077,217511_at
Susc10000079,204140_at
Susc10000103,1554503_a_at
Susc10000104,202446_s_at
Susc10000110,201281_at
Susc10000116,224615_x_at
Susc10000118,204131_s_at
Susc10000124,206276_at
Susc10000137,1554773_at
Susc10000142,206067_s_at
Susc10000147,200758_s_at
Susc10000156,207341_at
Susc10000194,219500_at
Susc10000199,1552772_at
Susc10000210,205890_s_at
Susc10000211,228335_at
Susc10000223,233881_s_at
Susc10000225,1552627_a_at
Susc10000238,205898_at
Susc10000241,230427_s_at
Susc10000257,214266_s_at
Susc10000258,218467_at
Susc10000263,222510_s_at
Susc10000290,204415_at
Susc10000294,230430_at
Susc10000295,206607_at
Susc10000312,242282_at
Susc10000313,205715_at
Susc10000324,208536_s_at
Susc10000339,202644_s_at
Susc10000363,210073_at
Susc10000365,207114_at
Susc10000370,204352_at
Susc10000382,209030_s_at
Susc10000389,207808_s_at
Susc10000399,214555_at
Susc10000404,235199_at
Susc10000408,202693_s_at
Susc10000410,218805_at
Susc10000414,36936_at
Susc10000426,214762_at
Susc10000428,206929_s_at
Susc10000445,219194_at
Susc10000464,205890_s_at
Susc10000471,213499_at
Susc10000484,203045_at
Susc10000490,218487_at
Susc10000500,203336_s_at
Susc10000501,209082_s_at
Susc10000516,200989_at
Susc10000517,235160_at
Susc10000521,1553769_at
Susc10000524,217147_s_at
Susc10000543,204175_at
Susc10000548,223501_at
Susc10000560,236029_at
Susc10000575,219039_at
Susc10000580,224583_at
Susc10000596,211208_s_at
Susc10000601,205806_at
Susc10000613,210762_s_at
Susc10000624,212283_at
Susc10000669,209955_s_at
Susc10000685,40093_at
Susc10000691,204027_s_at
Susc10000697,1560686_at
Susc10000700,216925_s_at
Susc10000708,216061_x_at
Susc10000714,233933_s_at
Susc10000730,208090_s_at
Susc10000742,227997_at
Susc10000756,1558289_at
Susc10000775,206586_at
Susc10000776,227785_at
Susc10000800,208659_at
Susc10000801,210506_at
Susc10000804,200041_s_at
Susc10000806,207922_s_at
Susc10000833,228233_at
Susc10000840,202262_x_at
Susc10000841,203793_x_at
Susc10000843,1555608_at
Susc10000846,219491_at
Susc10000869,1554322_a_at
Susc10000880,211214_s_at
Susc10000903,206492_at
Susc10000904,221581_s_at
Susc10000911,229642_at
Susc10000919,1570239_a_at
Susc10000920,208779_x_at
Susc10000923,221695_s_at
Susc10000926,32836_at
Susc10000929,1558233_s_at
Susc10000952,220451_s_at
Susc10000966,210142_x_at
Susc10000970,201511_at
Susc10000972,219360_s_at
Susc10000973,221348_at
Susc10000982,213028_at
Susc10000989,207145_at
Susc10000992,211250_s_at
Susc10000996,221342_at
Susc10001021,223648_s_at
Susc10001026,202711_at
Susc10001028,1553962_s_at
Susc10001048,231182_at
Susc10001051,206708_at
Susc10001062,211833_s_at
Susc10001066,226275_at
Susc10001070,230290_at
Susc10001071,1552580_at
Susc10001090,203217_s_at
Susc10001117,214494_s_at
Susc10001126,207966_s_at
Susc10001133,211580_s_at
Susc10001141,239750_x_at
Susc10001144,205965_at
Susc10001149,1554950_at
Susc10001163,1553059_at
Susc10001165,226908_at
Susc10001177,207075_at
Susc10001178,200635_s_at
Susc10001189,208779_x_at
Susc10001201,207957_s_at
Susc10001212,218311_at
Susc10001241,216933_x_at
Susc10001242,204379_s_at
Susc10001245,209594_x_at
Susc10001272,200808_s_at
Susc10001274,237340_at
Susc10001276,233208_x_at
Susc10001294,1552811_at
Susc10001302,218638_s_at
Susc10001318,216617_s_at
Susc10001339,204367_at
Susc10001341,240402_at
Susc10001359,205042_at
Susc10001365,205858_at
Susc10001380,1553740_a_at
Susc10001388,210512_s_at
Susc10001406,202468_s_at
Susc10001414,228065_at
Susc10001421,202100_at
Susc10001435,201029_s_at
Susc10001437,201705_at
Susc10001456,209311_at
Susc10001463,203837_at
Susc10001490,201506_at
Susc10001492,1555666_at
Susc10001516,212819_at
Susc10001550,211312_s_at
Susc10001552,203440_at
Susc10001555,201317_s_at
Susc10001566,212610_at
Susc10001573,213790_at
Susc10001588,203135_at
Susc10001594,218611_at
Susc10001607,217933_s_at
Susc10001610,222108_at
Susc10001612,211210_x_at
Susc10001626,230322_at
Susc10001634,32836_at
Susc10001638,220567_at
Susc10001642,209682_at
Susc10001644,203238_s_at
Susc10001650,224777_s_at
Susc10001659,201244_s_at
Susc10001663,208626_s_at
Susc10001687,203037_s_at
Susc10001693,229655_at
Susc10001697,1568999_at
Susc10001700,208512_s_at
Susc10001702,203923_s_at
Susc10001716,215938_s_at
Susc10001747,202429_s_at
Susc10001758,207821_s_at
Susc10001759,208627_s_at
Susc10001763,202340_x_at
Susc10001799,202880_s_at
Susc10001808,211484_s_at
Susc10001809,214288_s_at
Susc10001819,216483_s_at
Susc10001824,224733_at
Susc10001830,213108_at
Susc10001850,205205_at
Susc10001851,201864_at
Susc10001856,206315_at
Susc10001858,236095_at
Susc10001860,220815_at
Susc10001866,218129_s_at
Susc10001876,208056_s_at
Susc10001883,201202_at
Susc10001887,201114_x_at
Susc10001903,213198_at
Susc10001911,203064_s_at
Susc10001944,1555468_at
Susc10001946,233888_s_at
Susc10001948,207810_at
Susc10001953,208536_s_at
Susc10001955,219726_at
Susc10001962,230345_at
Susc10001963,201404_x_at
Susc10001964,203373_at
Susc10001967,205378_s_at
Susc10001980,214553_s_at
Susc10001989,202362_at
Susc10002006,223189_x_at
Susc10002009,208702_x_at
Susc10002015,235420_at
Susc10002018,208659_at
Susc10002025,228343_at
Susc10002037,1555943_at
Susc10002041,230549_at
Susc10002074,229419_at
Susc10002083,204591_at
Susc10002105,209323_at
Susc10002125,218380_at
Susc10002130,235310_at
Susc10002133,202262_x_at
Susc10002134,200770_s_at
Susc10002144,201234_at
Susc10002152,206674_at
Susc10002160,239548_at
Susc10002178,203081_at
Susc10002183,220975_s_at
Susc10002185,224794_s_at
Susc10002187,200923_at
Susc10002224,204933_s_at
Susc10002234,1555048_a_at
Susc10002241,223000_s_at
Susc10002272,203960_s_at
Susc10002275,213191_at
Susc10002283,220142_at
Susc10002291,209129_at
Susc10002313,220679_s_at
Susc10002323,209079_x_at
Susc10002357,224718_at
Susc10002358,209790_s_at
Susc10002395,212254_s_at
Susc10002408,205267_at
Susc10002412,203474_at
Susc10002443,224414_s_at
Susc10002448,206394_at
Susc10002464,223755_at
Susc10002511,229337_at
Susc10002515,228420_at
Susc10002531,227282_at
