A_72_P000091,A_24_P192914
A_72_P076966,A_23_P98431
A_72_P077306,A_23_P99642
A_72_P077311,A_23_P314755
A_72_P077316,A_23_P128744
A_72_P077321,A_23_P503072
A_72_P077326,A_23_P26154
A_72_P077331,A_33_P3383331
A_72_P077331,A_19_P00807008
A_72_P077336,A_33_P3416757
A_72_P077336,A_23_P167468
A_72_P077336,A_24_P671164
A_72_P077346,A_33_P3302255
A_72_P077346,A_24_P381604
A_72_P077351,A_24_P158089
A_72_P077356,A_33_P3228460
A_72_P077356,A_33_P3228450
A_72_P077361,A_24_P225719
A_72_P077361,A_23_P210274
A_72_P077366,A_33_P3337242
A_72_P077366,A_24_P145316
A_72_P077371,A_24_P364042
A_72_P077381,A_23_P206806
A_72_P077386,A_33_P3242543
A_72_P077391,A_24_P132813
A_72_P077398,A_33_P3244931
A_72_P077401,A_33_P3316456
A_72_P077401,A_33_P3414907
A_72_P077401,A_33_P3414912
A_72_P077406,A_33_P3224858
A_72_P077406,A_19_P00804527
A_72_P077411,A_23_P415401
A_72_P077421,A_24_P295999
A_72_P077426,A_23_P24948
A_72_P077431,A_23_P92842
A_72_P077436,A_23_P81760
A_72_P077436,A_33_P3217507
A_72_P077436,A_33_P3369239
A_72_P077436,A_24_P941322
A_72_P077441,A_23_P126836
A_72_P077451,A_23_P402670
A_72_P077456,A_23_P252817
A_72_P077461,A_23_P138541
A_72_P077461,A_23_P257971
A_72_P077461,A_24_P152968
A_72_P077461,A_33_P3403708
A_72_P077461,A_19_P00805982
A_72_P077466,A_32_P163247
A_72_P077466,A_33_P3228837
A_72_P077471,A_23_P160849
A_72_P077476,A_23_P168726
A_72_P077486,A_23_P121945
A_72_P077501,A_23_P169257
A_72_P077506,A_23_P200780
A_72_P077511,A_23_P103282
A_72_P077511,A_33_P3332284
A_72_P077516,A_23_P10873
A_72_P077526,A_24_P98006
A_72_P077531,A_23_P16252
A_72_P077536,A_23_P205697
A_72_P077541,A_23_P169017
A_72_P077541,A_33_P3358815
A_72_P077556,A_23_P24835
A_72_P077566,A_33_P3376478
A_72_P077581,A_23_P140375
A_72_P077596,A_32_P40596
A_72_P077596,A_33_P3239282
A_72_P077606,A_24_P383478
A_72_P077606,A_33_P3379356
A_72_P077606,A_23_P309739
A_72_P077616,A_23_P216812
A_72_P077621,A_23_P132159
A_72_P077621,A_32_P54553
A_72_P077626,A_23_P137016
A_72_P077626,A_33_P3371718
A_72_P077636,A_24_P279870
A_72_P077641,A_24_P405705
A_72_P077651,A_23_P386310
A_72_P077666,A_23_P67367
A_72_P077671,A_23_P165722
A_72_P077671,A_33_P3308050
A_72_P077671,A_33_P3308055
A_72_P077671,A_19_P00316245
A_72_P077671,A_19_P00801511
A_72_P077671,A_19_P00316244
A_72_P077676,A_33_P3287631
A_72_P077681,A_23_P11664
A_72_P077681,A_33_P3369550
A_72_P077681,A_33_P3293114
A_72_P077696,A_23_P116280
A_72_P077701,A_33_P3265016
A_72_P077701,A_23_P42144
A_72_P077706,A_24_P251221
A_72_P077711,A_23_P98631
A_72_P077721,A_23_P27724
A_72_P077721,A_33_P3326432
A_72_P077726,A_23_P133408
A_72_P077731,A_23_P57492
A_72_P077736,A_23_P71480
A_72_P077746,A_23_P216915
A_72_P077751,A_24_P268993
A_72_P077751,A_33_P3341259
A_72_P077756,A_32_P69368
A_72_P077756,A_23_P143143
A_72_P077761,A_33_P3248765
A_72_P077761,A_23_P46627
A_72_P077766,A_33_P3332018
A_72_P077776,A_23_P106362
A_72_P077781,A_23_P42386
A_72_P077786,A_33_P3237775
A_72_P077796,A_23_P2283
A_72_P077801,A_23_P364517
A_72_P077806,A_23_P120103
A_72_P077816,A_23_P46936
A_72_P077826,A_23_P83818
A_72_P077826,A_33_P3629678
A_72_P077836,A_23_P18447
A_72_P077841,A_23_P76034
A_72_P077846,A_33_P3269976
A_72_P077846,A_23_P374844
A_72_P077861,A_24_P378019
A_72_P077871,A_33_P3258392
A_72_P077871,A_23_P214821
A_72_P077886,A_23_P127891
A_72_P077886,A_32_P7316
A_72_P077891,A_24_P295010
A_72_P077901,A_23_P371215
A_72_P077906,A_23_P157920
A_72_P077906,A_33_P3345086
A_72_P077906,A_33_P3241224
A_72_P077906,A_23_P146539
A_72_P077906,A_24_P403459
A_72_P077906,A_23_P250251
A_72_P077906,A_24_P386375
A_72_P077906,A_23_P71757
A_72_P077906,A_23_P20704
A_72_P077911,A_32_P32739
A_72_P077916,A_23_P253542
A_72_P077921,A_23_P352799
A_72_P077926,A_23_P118834
A_72_P077931,A_23_P19352
A_72_P077936,A_33_P3332130
A_72_P077941,A_23_P8961
A_72_P077941,A_33_P3295917
A_72_P077946,A_23_P313632
A_72_P077951,A_23_P153616
A_72_P077956,A_23_P72077
A_72_P077961,A_23_P47800
A_72_P077961,A_23_P36408
A_72_P077966,A_33_P3849275
A_72_P077966,A_33_P3398392
A_72_P077971,A_33_P3316555
A_72_P077971,A_23_P51548
A_72_P077981,A_24_P159036
A_72_P078006,A_33_P3422133
A_72_P078011,A_23_P18372
A_72_P078021,A_23_P134419
A_72_P078021,A_33_P3412233
A_72_P078026,A_23_P128215
A_72_P078031,A_24_P309521
A_72_P078036,A_23_P76312
A_72_P078041,A_23_P376704
A_72_P078046,A_33_P3412900
A_72_P078056,A_23_P30745
A_72_P078061,A_23_P62634
A_72_P078061,A_24_P673333
A_72_P078066,A_23_P131866
A_72_P078071,A_23_P79968
A_72_P078076,A_33_P3414482
A_72_P078086,A_24_P242299
A_72_P078091,A_23_P120883
A_72_P078096,A_33_P3480561
A_72_P078101,A_23_P89302
A_72_P078376,A_23_P46812
A_72_P078461,A_23_P146198
A_72_P078476,A_23_P305938
A_72_P078616,A_23_P14515
A_72_P078706,A_24_P38081
A_72_P078736,A_23_P417942
A_72_P078761,A_33_P3296479
A_72_P078761,A_33_P3508822
A_72_P079401,A_24_P347624
A_72_P079401,A_23_P77066
A_72_P079606,A_23_P349025
A_72_P079631,A_24_P941643
A_72_P079631,A_23_P6099
A_72_P079711,A_23_P436117
A_72_P079771,A_33_P3242833
A_72_P079771,A_33_P3242829
A_72_P079771,A_24_P387869
A_72_P079841,A_33_P3319231
A_72_P079841,A_32_P75094
A_72_P079881,A_23_P313981
A_72_P079891,A_33_P3230881
A_72_P079941,A_33_P3256773
A_72_P079941,A_23_P397899
A_72_P079961,A_23_P403898
A_72_P079961,A_24_P928969
A_72_P080051,A_33_P3325355
A_72_P080051,A_33_P3321711
A_72_P080291,A_24_P330822
A_72_P080381,A_23_P103070
A_72_P080441,A_23_P321892
A_72_P080486,A_23_P128215
A_72_P080521,A_23_P160631
A_72_P080676,A_23_P47497
A_72_P080781,A_23_P204252
A_72_P080806,A_23_P161338
A_72_P080806,A_33_P3271241
A_72_P080821,A_23_P154306
A_72_P080836,A_23_P136355
A_72_P080841,A_33_P3400389
A_72_P080856,A_23_P58877
A_72_P080891,A_32_P69849
A_72_P080921,A_23_P7101
A_72_P080941,A_23_P368896
A_72_P080941,A_32_P112881
A_72_P081001,A_23_P48121
A_72_P081041,A_23_P300905
A_72_P081046,A_23_P152818
A_72_P081281,A_33_P3298387
A_72_P081366,A_23_P315206
A_72_P081506,A_33_P3369452
A_72_P081506,A_33_P3319596
A_72_P081526,A_23_P29153
A_72_P081731,A_23_P22433
A_72_P081791,A_23_P142322
A_72_P081791,A_23_P377616
A_72_P081916,A_33_P3309271
A_72_P081916,A_24_P106591
A_72_P082326,A_23_P346376
A_72_P082446,A_23_P370625
A_72_P082446,A_33_P3371425
A_72_P082476,A_24_P48723
A_72_P082526,A_33_P3220570
A_72_P082851,A_23_P76799
A_72_P082876,A_24_P93896
A_72_P082876,A_23_P24044
A_72_P083021,A_24_P320545
A_72_P084026,A_23_P502980
A_72_P084561,A_23_P356616
A_72_P085161,A_33_P3217147
A_72_P085161,A_23_P149419
A_72_P085406,A_24_P322354
A_72_P085456,A_23_P56833
A_72_P085501,A_32_P113508
A_72_P085501,A_33_P3352134
A_72_P085566,A_24_P364807
A_72_P085566,A_23_P141021
A_72_P085571,A_23_P105465
A_72_P085571,A_24_P766716
A_72_P085596,A_23_P68087
A_72_P085606,A_33_P3358799
A_72_P085676,A_33_P3330841
A_72_P085691,A_23_P25638
A_72_P085756,A_23_P202501
A_72_P085786,A_23_P19886
A_72_P085786,A_33_P3417113
A_72_P085881,A_23_P96899
A_72_P085941,A_24_P182947
A_72_P085941,A_33_P3226008
A_72_P086081,A_23_P46131
A_72_P086116,A_23_P13753
A_72_P086171,A_23_P47565
A_72_P086246,A_23_P141389
A_72_P086846,A_23_P46844
A_72_P087296,A_23_P327022
A_72_P087531,A_33_P3329419
A_72_P087646,A_23_P7313
A_72_P087661,A_33_P3307775
A_72_P088051,A_23_P52738
A_72_P088056,A_23_P94230
A_72_P088061,A_24_P312041
A_72_P088066,A_23_P110234
A_72_P088071,A_23_P8142
A_72_P088081,A_33_P3297517
A_72_P088081,A_23_P212639
A_72_P088081,A_24_P145911
A_72_P088086,A_33_P3784283
A_72_P088101,A_33_P3353242
A_72_P088106,A_33_P3213064
A_72_P088111,A_23_P362659
A_72_P088116,A_23_P257649
A_72_P088121,A_33_P3312242
A_72_P088121,A_23_P55828
A_72_P088126,A_24_P257348
A_72_P088131,A_23_P352870
A_72_P088131,A_23_P208293
A_72_P088146,A_23_P312505
A_72_P088146,A_33_P3239214
A_72_P088151,A_33_P3298535
A_72_P088151,A_23_P143414
A_72_P088156,A_24_P141332
A_72_P088156,A_33_P3329255
A_72_P088161,A_33_P3291484
A_72_P088161,A_23_P435601
A_72_P088166,A_23_P256561
A_72_P088181,A_23_P78099
A_72_P088196,A_24_P320033
A_72_P088211,A_23_P128991
A_72_P088221,A_23_P114947
A_72_P088226,A_23_P111395
A_72_P088236,A_33_P3415430
A_72_P088236,A_23_P111132
A_72_P088246,A_23_P92536
A_72_P088251,A_23_P156683
A_72_P088256,A_33_P3236109
A_72_P088256,A_23_P129133
A_72_P088276,A_24_P173325
A_72_P088291,A_33_P3393801
A_72_P088326,A_23_P218190
A_72_P088331,A_24_P373152
A_72_P088336,A_23_P500381
A_72_P088351,A_33_P3348239
A_72_P088356,A_23_P92499
A_72_P088366,A_33_P3225046
A_72_P088366,A_23_P23829
A_72_P088371,A_23_P301328
A_72_P088371,A_23_P68730
A_72_P088376,A_33_P3245439
A_72_P088376,A_23_P57036
A_72_P088381,A_23_P10062
A_72_P088381,A_33_P3221723
A_72_P088396,A_33_P3261019
A_72_P088401,A_23_P30693
A_72_P088416,A_23_P110531
A_72_P088422,A_33_P3369401
A_72_P088422,A_23_P28815
A_72_P088431,A_23_P149121
A_72_P088436,A_23_P46639
A_72_P088446,A_23_P212400
A_72_P088456,A_23_P357881
A_72_P088456,A_23_P159335
A_72_P088461,A_23_P98410
A_72_P088466,A_23_P419156
A_72_P088476,A_23_P162547
A_72_P088481,A_23_P139912
A_72_P088486,A_23_P67980
A_72_P088496,A_23_P126197
A_72_P088501,A_23_P102000
A_72_P088506,A_23_P78867
A_72_P088511,A_33_P3349045
A_72_P088511,A_23_P129556
A_72_P088511,A_33_P3395947
A_72_P088541,A_23_P109442
A_72_P088541,A_33_P3290082
A_72_P088546,A_33_P3238455
A_72_P088546,A_33_P3220530
A_72_P088556,A_23_P86917
A_72_P088561,A_24_P280113
A_72_P088571,A_23_P53176
A_72_P088576,A_23_P34345
A_72_P088596,A_23_P134953
A_72_P088601,A_23_P88435
A_72_P088606,A_33_P3232655
A_72_P088611,A_23_P38271
A_72_P088616,A_23_P114423
A_72_P088626,A_23_P121564
A_72_P088626,A_33_P3232552
A_72_P088636,A_33_P3401701
A_72_P088636,A_24_P217572
A_72_P088641,A_33_P3209591
A_72_P088641,A_23_P112482
A_72_P088651,A_23_P141636
A_72_P088656,A_23_P258093
A_72_P088661,A_23_P201035
A_72_P088666,A_33_P3284508
A_72_P088676,A_23_P502312
A_72_P088686,A_23_P146284
A_72_P088706,A_24_P941988
A_72_P088716,A_24_P355967
A_72_P088722,A_23_P82000
A_72_P088726,A_23_P369815
A_72_P088736,A_23_P166848
A_72_P088741,A_23_P416395
A_72_P088746,A_33_P3413741
A_72_P088751,A_23_P44996
A_72_P088756,A_33_P3244803
A_72_P088761,A_23_P121250
A_72_P088761,A_33_P3227217
A_72_P088766,A_23_P115683
A_72_P088776,A_23_P145777
A_72_P088786,A_24_P181055
A_72_P088786,A_33_P3309289
A_72_P088791,A_23_P167227
A_72_P088796,A_23_P142250
A_72_P088801,A_24_P330691
A_72_P088801,A_23_P118435
A_72_P088806,A_33_P3297050
A_72_P088806,A_23_P146728
A_72_P088831,A_33_P3358307
A_72_P088921,A_23_P45871
A_72_P089051,A_23_P259442
A_72_P089311,A_23_P131365
A_72_P089326,A_33_P3209433
A_72_P089326,A_23_P104689
A_72_P089707,A_23_P26021
A_72_P089776,A_23_P99292
A_72_P090021,A_24_P399630
A_72_P090141,A_23_P100642
A_72_P090206,A_24_P56484
A_72_P090406,A_23_P108785
A_72_P090406,A_33_P3399474
A_72_P090711,A_23_P134827
A_72_P090806,A_23_P12272
A_72_P090806,A_24_P139773
A_72_P090886,A_23_P63847
A_72_P091851,A_33_P3218975
A_72_P091851,A_33_P3218980
A_72_P091861,A_23_P62270
A_72_P091861,A_33_P3216357
A_72_P092111,A_24_P242688
A_72_P092371,A_23_P111492
A_72_P092371,A_33_P3321946
A_72_P092501,A_33_P3227990
A_72_P092501,A_23_P208085
A_72_P092501,A_24_P402080
A_72_P092521,A_33_P3302255
A_72_P092521,A_24_P381604
A_72_P092586,A_24_P192914
A_72_P092671,A_33_P3382924
A_72_P092691,A_23_P373927
A_72_P092826,A_23_P250607
A_72_P092916,A_23_P69249
A_72_P092941,A_24_P763243
A_72_P092941,A_32_P47701
A_72_P093176,A_23_P100795
A_72_P093176,A_24_P116805
A_72_P093321,A_33_P3323945
A_72_P093336,A_33_P3256685
A_72_P094611,A_23_P120845
A_72_P094636,A_23_P91293
A_72_P094636,A_33_P3365586
A_72_P094651,A_23_P201655
A_72_P094651,A_23_P74828
A_72_P094946,A_23_P120467
A_72_P094946,A_33_P3345314
A_72_P094946,A_23_P501877
A_72_P094946,A_33_P3386181
A_72_P095036,A_33_P3287631
A_72_P095116,A_33_P3306948
A_72_P095151,A_23_P208847
A_72_P095201,A_23_P99930
A_72_P095226,A_23_P71415
A_72_P095521,A_32_P216548
A_72_P095671,A_23_P128147
A_72_P096066,A_23_P501007
A_72_P096186,A_23_P146765
A_72_P096641,A_23_P251342
A_72_P096701,A_33_P3373707
A_72_P096701,A_23_P303260
A_72_P096916,A_23_P4522
A_72_P096916,A_33_P3344956
A_72_P096991,A_23_P47800
A_72_P096991,A_23_P36408
A_72_P097276,A_23_P254498
A_72_P097351,A_33_P3310475
A_72_P097391,A_23_P214638
A_72_P097456,A_24_P298420
A_72_P097456,A_23_P76851
A_72_P097526,A_24_P380348
A_72_P097551,A_32_P75284
A_72_P097581,A_23_P99515
A_72_P097686,A_23_P122724
A_72_P097881,A_33_P3287731
A_72_P097881,A_23_P388855
A_72_P097926,A_23_P80278
A_72_P098156,A_32_P86245
A_72_P098361,A_23_P71319
A_72_P098381,A_23_P7056
A_72_P098381,A_24_P397247
A_72_P098611,A_33_P3247659
A_72_P098611,A_23_P88710
A_72_P098611,A_24_P65098
A_72_P098771,A_19_P00809916
A_72_P098771,A_33_P3261084
A_72_P098771,A_33_P3358069
A_72_P098816,A_23_P1638
A_72_P098831,A_23_P18276
A_72_P098926,A_33_P3377060
A_72_P098926,A_33_P3396692
A_72_P098926,A_24_P544882
A_72_P098986,A_23_P110184
A_72_P099006,A_24_P63799
A_72_P099006,A_24_P132276
A_72_P099006,A_24_P50862
A_72_P099341,A_24_P303091
A_72_P099341,A_33_P3343175
A_72_P099581,A_33_P3406567
A_72_P100021,A_33_P3237784
A_72_P100021,A_23_P171077
A_72_P100041,A_23_P165879
A_72_P100056,A_32_P224149
A_72_P100106,A_33_P3359413
A_72_P100241,A_33_P3415191
A_72_P100271,A_33_P3356341
A_72_P100271,A_33_P3266873
A_72_P100396,A_23_P99930
A_72_P100491,A_23_P253446
A_72_P100496,A_24_P188071
A_72_P100566,A_23_P63026
A_72_P100566,A_33_P3349883
A_72_P100691,A_23_P138717
A_72_P100781,A_23_P74344
A_72_P100816,A_24_P298877
A_72_P100831,A_23_P211957
A_72_P100841,A_23_P160167
A_72_P100896,A_23_P210763
A_72_P101186,A_24_P763243
A_72_P101186,A_32_P47701
A_72_P101516,A_23_P68547
A_72_P101551,A_23_P43034
A_72_P101651,A_33_P3419139
A_72_P101651,A_23_P202587
A_72_P101651,A_33_P3382236
A_72_P101826,A_33_P3413038
A_72_P101826,A_23_P125772
A_72_P101856,A_23_P77776
A_72_P101856,A_33_P3412945
A_72_P101866,A_24_P261750
A_72_P102401,A_23_P48414
A_72_P102576,A_33_P3373329
A_72_P102781,A_23_P106042
A_72_P102826,A_23_P80353
A_72_P103161,A_23_P67829
A_72_P103691,A_24_P44931
A_72_P103731,A_23_P5983
A_72_P103746,A_24_P849801
A_72_P103746,A_32_P210252
A_72_P103966,A_23_P163059
A_72_P103966,A_33_P3224702
A_72_P103966,A_33_P3224705
A_72_P104091,A_23_P134113
A_72_P104091,A_33_P3321230
A_72_P104191,A_33_P3296169
A_72_P104191,A_23_P251421
A_72_P104596,A_24_P167496
A_72_P105056,A_24_P361158
A_72_P105246,A_23_P371613
A_72_P105356,A_23_P204484
A_72_P105496,A_33_P3385461
A_72_P105496,A_23_P217659
A_72_P105496,A_33_P3303940
A_72_P105611,A_33_P3388815
A_72_P105611,A_23_P200030
A_72_P105641,A_23_P52121
A_72_P105646,A_23_P46819
A_72_P105651,A_23_P9293
A_72_P105651,A_33_P3215527
A_72_P105836,A_23_P111672
A_72_P106116,A_23_P43412
A_72_P106656,A_24_P307626
A_72_P106801,A_23_P31686
A_72_P106896,A_23_P162596
A_72_P106976,A_33_P3300308
A_72_P107151,A_23_P123905
A_72_P107396,A_33_P3253799
A_72_P107396,A_23_P73457
A_72_P107506,A_24_P70117
A_72_P107506,A_23_P3212
A_72_P107531,A_33_P3297978
A_72_P107661,A_32_P43717
A_72_P107661,A_23_P422831
A_72_P107711,A_23_P31399
A_72_P107826,A_33_P3293207
A_72_P107826,A_33_P3293202
A_72_P107881,A_24_P277934
A_72_P107956,A_23_P62276
A_72_P107996,A_23_P54291
A_72_P108166,A_32_P203917
A_72_P108216,A_23_P62999
A_72_P108316,A_23_P145114
A_72_P108321,A_23_P99771
A_72_P108321,A_33_P3245539
A_72_P108371,A_23_P51580
A_72_P108421,A_23_P85015
A_72_P108911,A_23_P387057
A_72_P108911,A_23_P81912
A_72_P108986,A_33_P3225512
A_72_P108986,A_23_P204087
A_72_P109416,A_23_P73589
A_72_P109676,A_23_P216340
A_72_P109901,A_24_P56894
A_72_P110096,A_24_P20630
A_72_P110111,A_33_P3378126
A_72_P110201,A_33_P3219641
A_72_P110291,A_32_P25273
A_72_P110311,A_24_P207150
A_72_P110311,A_33_P3400429
A_72_P110576,A_23_P97860
A_72_P110581,A_33_P3379916
A_72_P110581,A_23_P39766
A_72_P110581,A_33_P3267356
A_72_P110871,A_23_P94174
A_72_P112201,A_33_P3302115
A_72_P112201,A_24_P902728
A_72_P112421,A_33_P3334398
A_72_P112421,A_24_P376760
A_72_P112421,A_33_P3334404
A_72_P113741,A_23_P361469
A_72_P114011,A_33_P3236082
A_72_P114041,A_33_P3379326
A_72_P114041,A_23_P392942
A_72_P114041,A_24_P372223
A_72_P114146,A_23_P154411
A_72_P114441,A_23_P144816
A_72_P114466,A_23_P104146
A_72_P114511,A_33_P3230976
A_72_P114511,A_23_P133755
A_72_P114831,A_23_P385206
A_72_P115201,A_23_P24997
A_72_P115231,A_23_P215658
A_72_P115351,A_33_P3347697
A_72_P115421,A_23_P13094
A_72_P115421,A_23_P161698
A_72_P115651,A_23_P115346
A_72_P115666,A_24_P911906
A_72_P115741,A_23_P212706
A_72_P115911,A_33_P3259662
A_72_P115911,A_23_P325661
A_72_P116236,A_23_P18422
A_72_P116271,A_33_P3284197
A_72_P116271,A_33_P3384543
A_72_P116336,A_23_P361469
A_72_P116421,A_23_P155868
A_72_P116521,A_23_P99515
A_72_P116536,A_23_P141636
A_72_P116606,A_32_P123088
A_72_P116846,A_24_P12401
A_72_P116921,A_23_P162589
A_72_P117046,A_33_P3296479
A_72_P117046,A_33_P3508822
A_72_P117191,A_24_P115511
A_72_P117441,A_23_P132438
A_72_P117576,A_23_P2446
A_72_P117836,A_23_P81408
A_72_P117836,A_33_P3246543
A_72_P117881,A_33_P3344733
A_72_P117896,A_24_P330263
A_72_P118106,A_23_P63798
A_72_P118106,A_33_P3367615
A_72_P118106,A_24_P128308
A_72_P118201,A_33_P3357082
A_72_P118201,A_23_P56553
A_72_P118316,A_33_P3369520
A_72_P118356,A_24_P256337
A_72_P118511,A_33_P3245412
A_72_P118516,A_33_P3307495
A_72_P118516,A_19_P00317939
A_72_P118786,A_33_P3244021
A_72_P118786,A_33_P3272527
A_72_P118826,A_33_P3389917
A_72_P118826,A_23_P200936
A_72_P118826,A_24_P67806
A_72_P118941,A_23_P60028
A_72_P119031,A_23_P8281
A_72_P119111,A_32_P20454
A_72_P119186,A_23_P10442
A_72_P119186,A_33_P3308534
A_72_P119736,A_33_P3314550
A_72_P119746,A_23_P36865
A_72_P119756,A_23_P37598
A_72_P119761,A_33_P3274696
A_72_P119761,A_23_P15692
A_72_P119906,A_24_P66780
A_72_P119996,A_33_P3227284
A_72_P120591,A_23_P104116
A_72_P120591,A_32_P62571
A_72_P120856,A_23_P2446
A_72_P120921,A_23_P376591
A_72_P121001,A_23_P253046
A_72_P121136,A_24_P56484
A_72_P121661,A_23_P86021
A_72_P121901,A_23_P149099
A_72_P122031,A_23_P9293
A_72_P122031,A_33_P3215527
A_72_P122051,A_23_P339818
A_72_P122366,A_24_P941038
A_72_P122366,A_23_P304509
A_72_P122401,A_23_P126716
A_72_P122401,A_33_P3228385
A_72_P122486,A_23_P98631
A_72_P122506,A_24_P307626
A_72_P122526,A_32_P99100
A_72_P122526,A_33_P3296499
A_72_P122526,A_33_P3296482
A_72_P122656,A_24_P98277
A_72_P122656,A_23_P71440
A_72_P122981,A_23_P8900
A_72_P123201,A_33_P3219870
A_72_P123201,A_23_P10077
A_72_P123241,A_23_P1056
A_72_P123316,A_23_P121686
A_72_P123341,A_33_P3311200
A_72_P123621,A_24_P940921
A_72_P124121,A_23_P138631
A_72_P124151,A_23_P65357
A_72_P124201,A_23_P91081
A_72_P124431,A_33_P3292387
A_72_P124631,A_33_P3215078
A_72_P124656,A_33_P3272330
A_72_P124656,A_23_P154500
A_72_P124656,A_23_P420373
A_72_P124876,A_23_P11664
A_72_P124876,A_33_P3369550
A_72_P124876,A_33_P3293114
A_72_P124966,A_33_P3245439
A_72_P124966,A_23_P57036
A_72_P125121,A_23_P14774
A_72_P125431,A_23_P328206
A_72_P125486,A_24_P324674
A_72_P125551,A_33_P3315190
A_72_P125736,A_24_P90878
A_72_P125986,A_23_P354805
A_72_P125986,A_19_P00328038
A_72_P125986,A_23_P371076
A_72_P126011,A_23_P65558
A_72_P126081,A_24_P67027
A_72_P126216,A_33_P3290945
A_72_P126216,A_33_P3272808
A_72_P126236,A_33_P3384392
A_72_P126496,A_33_P3410599
A_72_P126836,A_23_P79441
A_72_P126991,A_23_P152818
A_72_P127031,A_23_P78771
A_72_P127211,A_33_P3313145
A_72_P127346,A_23_P52031
A_72_P127381,A_24_P30194
A_72_P127411,A_23_P14804
A_72_P127441,A_23_P126593
A_72_P127441,A_23_P145863
A_72_P127476,A_24_P19752
A_72_P127516,A_24_P273666
A_72_P127516,A_24_P53595
A_72_P127516,A_24_P168574
A_72_P127516,A_24_P168581
A_72_P127521,A_23_P121250
A_72_P127521,A_33_P3227217
A_72_P127616,A_24_P396702
A_72_P127616,A_23_P131435
A_72_P127631,A_23_P200386
A_72_P127716,A_23_P125265
A_72_P127796,A_23_P206661
A_72_P127801,A_33_P3219090
A_72_P128051,A_23_P350451
A_72_P128051,A_33_P3342081
A_72_P128226,A_23_P34537
A_72_P128251,A_23_P55998
A_72_P128831,A_23_P20683
A_72_P128871,A_32_P113436
A_72_P128871,A_32_P8015
A_72_P128871,A_32_P216426
A_72_P128871,A_32_P19431
A_72_P128871,A_33_P3384260
A_72_P128871,A_32_P42197
A_72_P129251,A_23_P40295
A_72_P129436,A_33_P3333054
A_72_P130086,A_33_P3379326
A_72_P130086,A_23_P392942
A_72_P130086,A_24_P372223
A_72_P130355,A_33_P3382924
A_72_P130461,A_23_P19352
A_72_P130686,A_23_P145408
A_72_P130686,A_33_P3272580
A_72_P130696,A_23_P97328
A_72_P130696,A_33_P3263523
A_72_P131041,A_23_P152115
A_72_P131576,A_23_P138524
A_72_P131576,A_33_P3333158
A_72_P131701,A_33_P3217559
A_72_P131701,A_24_P236251
A_72_P131741,A_23_P205074
A_72_P131771,A_23_P9458
A_72_P131786,A_33_P3312365
A_72_P131791,A_24_P63799
A_72_P131791,A_24_P132276
A_72_P131791,A_24_P50862
A_72_P131826,A_23_P161076
A_72_P131831,A_23_P338890
A_72_P131846,A_23_P119222
A_72_P131846,A_33_P3350863
A_72_P132001,A_23_P54079
A_72_P132126,A_23_P58321
A_72_P132296,A_23_P98930
A_72_P132551,A_24_P108291
A_72_P132576,A_23_P25873
A_72_P132681,A_23_P218579
A_72_P132731,A_23_P33809
A_72_P132831,A_32_P44453
A_72_P132866,A_23_P400078
A_72_P132901,A_23_P154708
A_72_P132946,A_23_P208698
A_72_P133021,A_23_P150009
A_72_P133051,A_23_P75811
A_72_P133061,A_24_P226755
A_72_P133081,A_23_P36322
A_72_P133081,A_33_P3358253
A_72_P133131,A_23_P115149
A_72_P133276,A_24_P63468
A_72_P133346,A_23_P131723
A_72_P133386,A_23_P33683
A_72_P133486,A_33_P3255814
A_72_P133486,A_33_P3372281
A_72_P133976,A_23_P210210
A_72_P134026,A_33_P3273063
A_72_P134026,A_23_P31055
A_72_P134711,A_23_P80027
A_72_P135291,A_23_P256223
A_72_P135311,A_24_P47988
A_72_P135651,A_23_P64669
A_72_P135671,A_23_P259621
A_72_P135671,A_33_P3294961
A_72_P135756,A_23_P132669
A_72_P135756,A_33_P3275290
A_72_P135801,A_23_P127140
A_72_P135956,A_23_P331928
A_72_P136051,A_24_P124662
A_72_P136076,A_23_P69826
A_72_P136076,A_19_P00806302
A_72_P136216,A_33_P3209396
A_72_P136216,A_23_P432512
A_72_P136361,A_23_P25698
A_72_P136611,A_23_P75149
A_72_P136666,A_23_P169470
A_72_P136686,A_33_P3209591
A_72_P136686,A_23_P112482
A_72_P136766,A_23_P17490
A_72_P136951,A_23_P135271
A_72_P136961,A_23_P7056
A_72_P136961,A_24_P397247
A_72_P137136,A_33_P3277614
A_72_P137136,A_24_P114438
A_72_P137411,A_23_P98015
A_72_P137416,A_32_P224149
A_72_P137561,A_23_P29994
A_72_P137636,A_23_P50897
A_72_P137636,A_33_P3402763
A_72_P137871,A_33_P3339253
A_72_P137871,A_19_P00316423
A_72_P139416,A_23_P11629
A_72_P139481,A_23_P169178
A_72_P140331,A_23_P382811
A_72_P140361,A_23_P202860
A_72_P140396,A_33_P3241482
A_72_P140396,A_23_P258124
A_72_P140496,A_23_P216307
A_72_P140586,A_23_P331253
A_72_P140696,A_23_P12329
A_72_P140746,A_23_P145463
A_72_P140756,A_32_P321996
A_72_P140756,A_33_P3304878
A_72_P140756,A_33_P3209651
A_72_P140756,A_32_P30905
A_72_P140756,A_19_P00315922
A_72_P140921,A_33_P3257030
A_72_P141076,A_23_P435002
A_72_P141211,A_24_P77904
A_72_P141476,A_23_P205293
A_72_P141546,A_24_P272310
